ANO;MÊS;MERCADO;RPK
2001;1;SBBHSBSP;887040
2001;1;SBBHSBSV;743280
2001;1;SBBRSBGL;1172660
2001;1;SBBRSBSP;2845110
2001;1;SBBRSBSV;1144680
2001;1;SBFLSBGL;0
2001;1;SBFLSBPA;1188820
2001;1;SBFLSBSP;2937760
2001;1;SBBRSBGL;1960530
2001;1;SBFLSBGL;0
2001;1;SBGLSBPA;0
2001;1;SBGLSBSP;2606760
2001;1;SBGLSBSV;756378
2001;1;SBBRSBGR;0
2001;1;SBGRSBSP;0
2001;1;SBFLSBPA;1264330
2001;1;SBGLSBPA;0
2001;1;SBPASBSP;0
2001;1;SBBHSBSP;859320
2001;1;SBBRSBSP;2486300
2001;1;SBFLSBSP;2892860
2001;1;SBGLSBSP;0
2001;1;SBGLSBSP;3033360
2001;1;SBPASBSP;0
2001;1;SBSPSBSV;100640
2001;1;SBBHSBSV;795114
2001;1;SBBRSBSV;1304170
2001;1;SBGLSBSV;1369030
2001;1;SBSPSBSV;0
2001;1;SBSPSBSV;14800
2001;2;SBBHSBSP;2493290
2001;2;SBBHSBSV;3404420
2001;2;SBBRSBGL;5491310
2001;2;SBBRSBSP;5989650
2001;2;SBBRSBSV;3753020
2001;2;SBFLSBGL;0
2001;2;SBFLSBPA;2595090
2001;2;SBFLSBSP;6111220
2001;2;SBBRSBGL;5661320
2001;2;SBFLSBGL;0
2001;2;SBGLSBGR;45832
2001;2;SBGLSBPA;0
2001;2;SBGLSBSP;4568040
2001;2;SBGLSBSV;2337340
2001;2;SBFLSBGR;45835
2001;2;SBGRSBPA;0
2001;2;SBFLSBPA;2942840
2001;2;SBGLSBPA;0
2001;2;SBPASBSP;0
2001;2;SBBHSBSP;3122780
2001;2;SBBRSBSP;5515610
2001;2;SBFLSBSP;6320090
2001;2;SBGLSBSP;5637240
2001;2;SBPASBSP;0
2001;2;SBSPSBSV;0
2001;2;SBBHSBSV;1971650
2001;2;SBBRSBSV;2217740
2001;2;SBGLSBSV;2389720
2001;2;SBSPSBSV;0
2001;3;SBBHSBSP;3408550
2001;3;SBBHSBSV;2110520
2001;3;SBBRSBGL;0
2001;3;SBBRSBGL;6064390
2001;3;SBBRSBSP;6296950
2001;3;SBBRSBSV;0
2001;3;SBBRSBSV;1976870
2001;3;SBFLSBGL;0
2001;3;SBFLSBPA;2624850
2001;3;SBFLSBSP;7681610
2001;3;SBBRSBGL;6769080
2001;3;SBFLSBGL;0
2001;3;SBGLSBPA;0
2001;3;SBGLSBSP;5152320
2001;3;SBGLSBSV;1207040
2001;3;SBFLSBPA;3017620
2001;3;SBGLSBPA;0
2001;3;SBPASBSP;0
2001;3;SBBHSBSP;2880360
2001;3;SBBRSBSP;5793230
2001;3;SBFLSBSP;7042330
2001;3;SBGLSBSP;0
2001;3;SBGLSBSP;6005880
2001;3;SBPASBSP;0
2001;3;SBSPSBSV;0
2001;3;SBBHSBSV;3818110
2001;3;SBBRSBSV;3288640
2001;3;SBGLSBSV;0
2001;3;SBGLSBSV;2554150
2001;3;SBSPSBSV;0
2001;4;SBBHSBSP;67536
2001;4;SBBHSBSP;1171300
2001;4;SBBHSBSV;51834
2001;4;SBBHSBSV;1845490
2001;4;SBBRSBGL;5377980
2001;4;SBBRSBSP;6083060
2001;4;SBBRSBSV;3181220
2001;4;SBFLSBGL;0
2001;4;SBFLSBPA;2827040
2001;4;SBFLSBSP;7020860
2001;4;SBBRSBGL;5147650
2001;4;SBFLSBGL;0
2001;4;SBGLSBPA;0
2001;4;SBGLSBSP;4562640
2001;4;SBGLSBSV;1281340
2001;4;SBFLSBPA;2730120
2001;4;SBGLSBPA;0
2001;4;SBPASBSP;0
2001;4;SBBHSBSP;1504940
2001;4;SBBRSBSP;6067350
2001;4;SBFLSBSP;7213620
2001;4;SBGLSBSP;5415840
2001;4;SBPASBSP;0
2001;4;SBSPSBSV;0
2001;4;SBBHSBSV;132030
2001;4;SBBHSBSV;1336930
2001;4;SBBRSBSV;2581220
2001;4;SBGLSBSV;873306
2001;4;SBSPSBSV;0
2001;4;SBSPSBSV;0
2001;5;SBBHSBBR;14640
2001;5;SBBHSBBR;218990
2001;5;SBBHSBRF;0
2001;5;SBBHSBSP;2844580
2001;5;SBBHSBSV;3776060
2001;5;SBBHSBBR;46360
2001;5;SBBHSBBR;298290
2001;5;SBBRSBCT;0
2001;5;SBBRSBCT;0
2001;5;SBBRSBFL;0
2001;5;SBBRSBGL;5275610
2001;5;SBBRSBKP;0
2001;5;SBBRSBPA;0
2001;5;SBBRSBPA;0
2001;5;SBBRSBRF;34734
2001;5;SBBRSBSP;139680
2001;5;SBBRSBSP;4756100
2001;5;SBBRSBSV;148645
2001;5;SBBRSBSV;2307800
2001;5;SBBHSBCT;0
2001;5;SBBRSBCT;0
2001;5;SBBRSBCT;0
2001;5;SBCTSBGL;0
2001;5;SBCTSBPA;86508
2001;5;SBCTSBPA;343362
2001;5;SBCTSBSP;46340
2001;5;SBCTSBSP;654056
2001;5;SBCTSBSV;0
2001;5;SBCTSBSV;0
2001;5;SBBRSBFL;0
2001;5;SBFLSBGL;0
2001;5;SBFLSBPA;2320660
2001;5;SBFLSBRF;0
2001;5;SBFLSBSP;4208510
2001;5;SBFLSBSV;0
2001;5;SBBHSBGL;13817
2001;5;SBBHSBGL;80206
2001;5;SBBRSBGL;5737180
2001;5;SBCTSBGL;0
2001;5;SBFLSBGL;0
2001;5;SBGLSBKP;513420
2001;5;SBGLSBPA;0
2001;5;SBGLSBRF;0
2001;5;SBGLSBSP;4495680
2001;5;SBGLSBSV;2407990
2001;5;SBGRSBKP;0
2001;5;SBGRSBSP;0
2001;5;SBBRSBKP;0
2001;5;SBGLSBKP;456506
2001;5;SBKPSBSP;0
2001;5;SBBHSBPA;0
2001;5;SBBRSBPA;0
2001;5;SBBRSBPA;0
2001;5;SBCTSBPA;31506
2001;5;SBCTSBPA;326808
2001;5;SBFLSBPA;2325020
2001;5;SBGLSBPA;0
2001;5;SBPASBRF;0
2001;5;SBPASBSP;0
2001;5;SBPASBSP;0
2001;5;SBPASBSV;0
2001;5;SBBHSBRF;0
2001;5;SBGLSBRF;0
2001;5;SBGLSBRF;0
2001;5;SBRFSBRF;0
2001;5;SBRFSBSP;0
2001;5;SBRFSBSP;0
2001;5;SBRFSBSV;2341590
2001;5;SBBHSBSP;3037610
2001;5;SBBRSBSP;169362
2001;5;SBBRSBSP;4536980
2001;5;SBCTSBSP;67855
2001;5;SBCTSBSP;525959
2001;5;SBFLSBSP;4002580
2001;5;SBGLSBSP;4148640
2001;5;SBPASBSP;0
2001;5;SBPASBSP;0
2001;5;SBRFSBSP;0
2001;5;SBSPSBSV;0
2001;5;SBSPSBSV;0
2001;5;SBBHSBSV;3091460
2001;5;SBBRSBSV;92225
2001;5;SBBRSBSV;2173260
2001;5;SBCTSBSV;0
2001;5;SBCTSBSV;0
2001;5;SBGLSBSV;0
2001;5;SBGLSBSV;3192380
2001;5;SBPASBSV;0
2001;5;SBPASBSV;0
2001;5;SBRFSBSV;2667390
2001;5;SBSPSBSV;0
2001;5;SBSPSBSV;0
2001;6;SBBHSBBR;28060
2001;6;SBBHSBBR;1493280
2001;6;SBBHSBRF;0
2001;6;SBBHSBSP;127512
2001;6;SBBHSBSP;3756820
2001;6;SBBHSBSV;198534
2001;6;SBBHSBSV;5717390
2001;6;SBBHSBBR;2091690
2001;6;SBBRSBCT;0
2001;6;SBBRSBFL;0
2001;6;SBBRSBGL;6093640
2001;6;SBBRSBKP;0
2001;6;SBBRSBPA;0
2001;6;SBBRSBSP;73332
2001;6;SBBRSBSP;6055130
2001;6;SBBRSBSV;2714670
2001;6;SBBHSBCT;0
2001;6;SBBRSBCT;0
2001;6;SBCTSBFL;14514
2001;6;SBCTSBGL;0
2001;6;SBCTSBPA;2820050
2001;6;SBCTSBSP;3847880
2001;6;SBCTSBSV;0
2001;6;SBBRSBFL;0
2001;6;SBFLSBGL;0
2001;6;SBFLSBPA;2694190
2001;6;SBFLSBRF;0
2001;6;SBFLSBSP;4639900
2001;6;SBFLSBSV;0
2001;6;SBBHSBGL;527068
2001;6;SBBRSBGL;6171330
2001;6;SBCTSBGL;0
2001;6;SBFLSBGL;0
2001;6;SBGLSBKP;651526
2001;6;SBGLSBPA;0
2001;6;SBGLSBRF;0
2001;6;SBGLSBSP;6386400
2001;6;SBGLSBSV;5075410
2001;6;SBBRSBKP;0
2001;6;SBGLSBKP;512624
2001;6;SBBHSBPA;0
2001;6;SBBRSBPA;0
2001;6;SBCTSBPA;1526710
2001;6;SBFLSBPA;2680390
2001;6;SBGLSBPA;0
2001;6;SBPASBRF;0
2001;6;SBPASBSP;46928
2001;6;SBPASBSV;0
2001;6;SBBHSBRF;0
2001;6;SBGLSBRF;0
2001;6;SBRFSBSP;0
2001;6;SBRFSBSV;3470850
2001;6;SBBHSBSP;53928
2001;6;SBBHSBSP;4723490
2001;6;SBBRSBSP;5918940
2001;6;SBCTSBSP;3750560
2001;6;SBFLSBSP;4656980
2001;6;SBGLSBSP;5885280
2001;6;SBPASBSP;0
2001;6;SBRFSBSP;0
2001;6;SBSPSBSV;0
2001;6;SBSPSBSV;0
2001;6;SBBHSBSV;185820
2001;6;SBBHSBSV;5463110
2001;6;SBBRSBSV;2756980
2001;6;SBCTSBSV;0
2001;6;SBGLSBSV;4767250
2001;6;SBPASBSV;0
2001;6;SBRFSBSV;4517040
2001;6;SBSPSBSV;0
2001;6;SBSPSBSV;0
2001;7;SBBHSBBR;2048380
2001;7;SBBHSBRF;0
2001;7;SBBHSBSP;4818240
2001;7;SBBHSBSV;6145750
2001;7;SBBHSBBR;2795630
2001;7;SBBRSBCT;0
2001;7;SBBRSBFL;0
2001;7;SBBRSBGL;8154710
2001;7;SBBRSBKP;0
2001;7;SBBRSBPA;0
2001;7;SBBRSBSP;8922930
2001;7;SBBRSBSV;3968930
2001;7;SBBHSBCT;0
2001;7;SBBRSBCT;0
2001;7;SBCTSBGL;0
2001;7;SBCTSBPA;3159140
2001;7;SBCTSBSP;4975590
2001;7;SBCTSBSV;0
